Proposal ID,Programme Name,Sub-Programme,Supplement,Lead Applicant,Research Body,Proposal Title,Start Date,End Date,Funding
09/RFP/BIC2365,SFI Research Frontiers Programme,,,Paul Moynagh,"National University of Ireland, Maynooth (NUIM)",Functional characterisation of a novel TIR domain-containing protein in immunity and disease,09/01/2009,8/31/2013,208564
09/RFP/EOB2510,SFI Research Frontiers Programme,,,James McInerney,"National University of Ireland, Maynooth (NUIM)",Identification of the modules in the phylogenetic network of life,06/01/2009,5/31/2013,267170
09/RFP/EOB2506,SFI Research Frontiers Programme,,,Anne Burnell,"National University of Ireland, Maynooth (NUIM)",A functional analysis of desiccation tolerance in the anhydrobiotic nematode Panagrolaimus superbus using RNA interference assays.,07/01/2009,9/30/2013,273724
09/RFP/ECE2376,SFI Research Frontiers Programme,,,Tomas Ward,"National University of Ireland, Maynooth (NUIM)",Enhancing Stroke Rehabilitation with the Application of Brain Computer Interfaces,09/01/2009,12/31/2013,144565
09/RFP/BIC2188,SFI Research Frontiers Programme,,,Martina Schroeder,"National University of Ireland, Maynooth (NUIM)",Investigating the role of the human DEAD box protein DDX3 in IKK-alpha mediated innate immune signalling pathways.,10/01/2009,9/30/2014,230159
09/RFP/AST2181,SFI Research Frontiers Programme,,,Créidhe O'Sullivan,"National University of Ireland, Maynooth (NUIM)",Towards a B-Mode Polarisation Measurement of The Cosmic Microwave Background,10/01/2009,9/30/2013,144865
09/RFP/GEN2443,SFI Research Frontiers Programme,,,Paul O'Toole,University College Cork (UCC),Characterization of a novel transcriptional and translational regulator of bacterial flagellum production,10/01/2009,12/31/2013,237864
09/RFP/BMT2350,SFI Research Frontiers Programme,,,Fergal O'Gara,University College Cork (UCC),An investigation of the molecular interactions between statins and microbial pathogens and their combined impact on the human immune response.,10/01/2009,9/30/2013,236752
09/RFP/CAP2509,SFI Research Frontiers Programme,,,Dean Venables,University College Cork (UCC),As quick as quicksilver: Ultrasensitive detection of atmospheric mercury and its application to mercury speciation and atmosphere-surface exchange,09/01/2009,2/28/2014,292021
09/RFP/CHS2353,SFI Research Frontiers Programme,,,Gerard McGlacken,University College Cork (UCC),The asymmetric synthesis of 13-hydroxyketones using hydrazones with (-)-sparteine as chiral ligand and 13-aminoalcohols using an aldol-Tishchenko type reaction with sulfinylimines.,09/01/2009,8/31/2013,198893
09/RFP/EOB2484,SFI Research Frontiers Programme,,,Avril Coghlan,University College Cork (UCC),Understanding Microsatellite Mutation and Evolution  - A Bioinformatics Analysis of 1000 Complete Human Genomes,10/01/2009,7/31/2012,93975
09/RFP/PHY2422,SFI Research Frontiers Programme,,,James Lunney,Trinity College Dublin (TCD),Spatially confined laser produced plasmas,10/01/2009,12/31/2013,191251
09/RFP/ECE2196,SFI Research Frontiers Programme,,,Naomi Harte,Trinity College Dublin (TCD),Dynamic Visual Features and Improved Audio-Visual Fusion for Automatic Speech Recognition,10/01/2009,9/30/2014,163262
09/RFP/MTR2366,SFI Research Frontiers Programme,,,Sylvia Draper,Trinity College Dublin (TCD),When Chemistry Stacks-Up: A Bottom-Up Approach to Graphene-based Functional Materials,10/01/2009,9/30/2013,225384
09/RFP/BMT2128,SFI Research Frontiers Programme,,,Angus Bell,Trinity College Dublin (TCD),Modulation of immunophilin–protein interactions in Plasmodium falciparum as a novel approach to antimalarial therapy,10/01/2009,9/30/2013,223742
09/RFP/ENM2469,SFI Research Frontiers Programme,,,Craig Meskell,Trinity College Dublin (TCD),Modelling and identification of turbulent source mechanisms for subsonic jet noise,10/01/2009,11/30/2013,225337
09/RFP/MTR2274,SFI Research Frontiers Programme,,,Graeme Watson,Trinity College Dublin (TCD),Computer modelling of doped ceria catalysts,10/01/2009,9/30/2014,215330
09/RFP/CHS2256,SFI Research Frontiers Programme,,,Eoin Scanlan,Trinity College Dublin (TCD),New light-induced reactions of acyloximes for the rapid synthesis of biologically important azasugars and glycosconjugates,09/01/2009,8/31/2013,173625
09/RFP/GEO2393,SFI Research Frontiers Programme,,,Robin Edwards,Trinity College Dublin (TCD),Testing simulations of relative sea-level change: a marine geophysical perspective,10/01/2009,9/30/2014,178354
09/RFP/NES2222,SFI Research Frontiers Programme,,,Shane O'Mara,Trinity College Dublin (TCD),What role does long-term synaptic plasticity play in the mechanisms of neurocognitive function,9/14/2009,9/13/2013,192709
09/RFP/PHY2142,SFI Research Frontiers Programme,,,Sergey Frolov,Trinity College Dublin (TCD),Gauge Theory from Quantum String Sigma Model,10/01/2009,9/30/2014,147148
09/RFP/CHS2516,SFI Research Frontiers Programme,,,Thorfinnur Gunnlaugsson,Trinity College Dublin (TCD),Exploring the use of lanthanide luminescent gold nanoparticles for biological applications,10/01/2009,9/30/2013,266331
09/RFP/NES2382,SFI Research Frontiers Programme,,,Richard Reilly,Trinity College Dublin (TCD),Multisensory Integration: A high-density EEG approach using ecologically valid stimuli.,10/01/2009,3/31/2014,259243
09/RFP/NES2426,SFI Research Frontiers Programme,,,Mani Ramaswami,Trinity College Dublin (TCD),Using fluorophore-assisted light inactivation to probe dynamic regulation and function of presynaptic actin,10/01/2009,9/30/2014,195393
09/RFP/MTR2295,SFI Research Frontiers Programme,,,Charles Patterson,Trinity College Dublin (TCD),Spin and charge polarons and their impact on magnetism and charge transport in oxides,07/01/2009,6/30/2014,167054
09/RFP/CMS2507,SFI Research Frontiers Programme,,,Stefan Weber,Trinity College Dublin (TCD),Investigation of Next Generation End-to-end Protocols for Mobile Ad hoc Networks,10/01/2009,9/30/2012,188696
09/RFP/PHY2372,SFI Research Frontiers Programme,,,Michael Coey,Trinity College Dublin (TCD),Magnetic gradient electrodes for energy-related applications.,10/01/2009,9/30/2013,215043
09/RFP/ENM2151,SFI Research Frontiers Programme,,,Darina Murray,Trinity College Dublin (TCD),Sliding Bubbles and the Mechanisms of Enhanced Heat Transfer,09/01/2009,2/28/2014,283809
09/RFP/CAP2174,SFI Research Frontiers Programme,,,Paula Colavita,Trinity College Dublin (TCD),Photochemistry on model carbon surfaces: understanding the role of photoinduced charge transfer in heterogeneous reactions of combustion carbon aerosols,07/01/2009,12/31/2013,276913
09/RFP/MTR2286,SFI Research Frontiers Programme,,,Jonathan Coleman,Trinity College Dublin (TCD),Exfoliation of graphite to give grapheme in aqueous surfactant solutions: The critical step toward functional nanostructured materials,10/01/2009,9/30/2013,174355
08/IN.1/B2033,SFI Principal Investigator Programme,,,Dominic Walsh,University College Dublin (UCD),Therapeutic targeting of amyloid beta-protein oligomers,09/01/2009,8/31/2014,611410
08/IN.1/B2104,SFI Principal Investigator Programme,,,Jay Hinton,Trinity College Dublin (TCD),Environmental adaptation gene regulation and virulence of Salmonella,09/01/2009,12/31/2013,1563352
08/IN.1/B2070,SFI Principal Investigator Programme,,,Robert Woods,"National University of Ireland, Galway (NUIG)",Virtual Glycan Array Development and Carbohydrate Receptor Engineering,09/01/2009,12/31/2014,1489950
08/IN.1/B2083,SFI Principal Investigator Programme,,,Louise Kenny,University College Cork (UCC),The development of a metabolic biomarker based screening test to identify uteroplacental insufficiency in pregnancy,09/01/2009,9/30/2015,545908
08/IN.1/B2067,SFI Principal Investigator Programme,,,Stefan Oscarson,University College Dublin (UCD),Chemical Biology on Carbohydrates - Approaches Towards Potential Drugs and Vaccines against Infectious Diseases and Cancer,07/01/2009,1/31/2016,1568160
08/IN.1/B2091,SFI Principal Investigator Programme,,,Caroline Jefferies,Royal College of Surgeons in Ireland (RCSI),Investigation into Ro52/TRIM21 as a critical regulator of type I IFN and autoantibody production in Lupus,07/01/2009,6/30/2014,1122933
08/IN.1/B2035,SFI Principal Investigator Programme,,,Seamas Donnelly,University College Dublin (UCD),Macrophage Migration Inhibitory Factor (MIF) enzymatic activity & pulmonary disease,09/01/2009,11/30/2014,1487074
08/IN.1/B2038,SFI Principal Investigator Programme,,,David MacHugh,University College Dublin (UCD),Functional genomics and proteomics studies of bovine tuberculosis,09/01/2009,8/31/2015,1738120
08/IN.1/B2064,SFI Principal Investigator Programme,,,Corrado Santocanale,"National University of Ireland, Galway (NUIG)",Understanding and exploiting molecular mechanisms of DNA replication in cancer cells,09/01/2009,3/31/2016,1098229
08/IN.1/B2031,SFI Principal Investigator Programme,,,Seamus Martin,Trinity College Dublin (TCD),Immunomodulation by cell-death-related proteases,09/01/2009,2/28/2015,1640474
08/IN.1/B2036,SFI Principal Investigator Programme,,,Nikolaus Plesnila,Royal College of Surgeons in Ireland (RCSI),Characterisation of neuronal cell death signalling by in vivo imaging,09/01/2009,8/31/2014,360238
08/IN.1/B2072,SFI Principal Investigator Programme,,,Gil U Lee,University College Dublin (UCD),Single Molecule Instrument Research Program: Force Measurements in Live Cells and Multiplexed Pathogen Detection,07/01/2009,12/31/2015,1722127
08/IN.1/B2053,SFI Principal Investigator Programme,,,Brian Vohnsen,University College Dublin (UCD),Adaptive Photonics for Nanoscale Bioimaging,09/01/2009,12/31/2014,1103792
08/IN.1/I2055,SFI Principal Investigator Programme,,,Henry Curran,"National University of Ireland, Galway (NUIG)",Combustion Chemistry for Sustainable energy and Energy Efficient Technologies,09/01/2009,8/31/2015,952598
08/IN.1/I2029,SFI Principal Investigator Programme,,,Chen Ching Liu,University College Dublin (UCD),Vulnerability Assessment and Mitigation of Information and Communication Systems for Critical Infrastructures,09/01/2009,8/31/2011,403080
08/IN.1/I2103,SFI Principal Investigator Programme,,,Vincent Wade,Trinity College Dublin (TCD),Adaptive and adaptable media and services for dynamic personalisation and contextualisation (AMAS),09/01/2009,10/31/2014,912785
08/IN.1/I2030,SFI Principal Investigator Programme,,,Fergal McCaffery,Dundalk Institute of Technology (DkIT),Developing a Global Software Development Framework for the Medical Device Industry,09/01/2009,12/31/2015,627651
08/IN.1/I2054,SFI Principal Investigator Programme,,,Alexey Lastovetsky,University College Dublin (UCD),High-performance heterogeneous computing,09/01/2009,8/31/2014,817529
08/IN.1/I2112,SFI Principal Investigator Programme,,,Anil Kokaram,Trinity College Dublin (TCD),Content Aware visual Media processing,09/01/2009,8/31/2015,1016893
08/IN.1/I2052,SFI Principal Investigator Programme,,,Greg Hughes,Dublin City University (DCU),Growth and Characterisation of self-forming diffusion barrier layers for interconnect technologies,09/01/2009,2/28/2014,548410
08/IN.1/I2047,SFI Principal Investigator Programme,,,Wolfgang Schmitt,Trinity College Dublin (TCD),Supramolecular Coordination Networks for Gas Storage Gas Separation & Catalysis,09/01/2009,6/30/2015,678174
07/IN.1/B934s1,SFI Principal Investigator Programme,,Maternity / Adoptive Allowance,Andrew Bowie,Trinity College Dublin (TCD),Utilising vaccinia virus proteins to explore innate immune signalling mechanisms,5/25/2009,11/21/2009,6046
09/CW/B1666s1,SFI Conferences and Workshops Programme,,General Supplement,Drew Harrison,University of Limerick (UL),WWVII 2009 International Conference on Biomechanics in Sport,08/01/2009,9/30/2009,14802
08/US/I1512,SFI US-Ireland R&D Partnership Programme,Full Proposal,,Richard O'Kennedy,Dublin City University (DCU),BEACONS: Biosafety for Environmental Contaminants using Novel Sensors,09/01/2009,8/31/2014,327031
09/CW/B1671,SFI Conferences and Workshops Programme,,,Gerald O'Sullivan,University College Cork (UCC),International Society for Cell and Gene Therapy of Cancer: Annual Conference 2009,08/01/2009,12/29/2009,7000
08/SRC/FM1389,SFI Strategic Research Cluster Programme,,,John Cotter,University College Dublin (UCD),SRC FMC2: Financial Mathematics and Computation Cluster (FMC2),09/01/2009,8/31/2016,5288083
09/RFP/CMS2531,SFI Research Frontiers Programme,,,Sarah Jane Delany,Technological University Dublin (TU Dublin),EmoVerE: Emotion Verification Experiments - An Investigation into using Machine Learning for the Automatic Recognition of Emotion in Speech,10/01/2009,9/30/2013,196921
09/RFP/BIC2371,SFI Research Frontiers Programme,,,Afshin Samali,"National University of Ireland, Galway (NUIG)",Regulation of IRE1 signalling by BCL-2 during the unfolded protein response,10/01/2009,9/30/2013,222992
09/RFP/CMS2515,SFI Research Frontiers Programme,,,John Herbert,University College Cork (UCC),Context-Aware Real-time Assistant for Falls Assessment in the Elderly,10/01/2009,3/31/2014,159796
09/RFP/CMS2212,SFI Research Frontiers Programme,,,Félix Balado,University College Dublin (UCD),Information Embedding in DNA (IE-DNA),10/01/2009,3/31/2014,194352
09/CW/B1671s1,SFI Conferences and Workshops Programme,,General Supplement,Gerald O'Sullivan,University College Cork (UCC),International Society for Cell and Gene Therapy of Cancer: Annual Conference 2009,08/01/2009,12/29/2009,42400
09/CW/I1680,SFI Conferences and Workshops Programme,,,David Cotter,Tyndall National Institute (TNI),Photonics Ireland 2009,08/01/2009,12/29/2009,7628
09/CW/B1689,SFI Conferences and Workshops Programme,,,David Ramsey,University of Limerick (UL),Irish Symposium on Biostatistics and Bioinformatics (ISBB),08/01/2009,12/29/2009,3000
09/SIRG/B1600,SFI Starting Investigator Research Grant,,,Emmanuelle Graciet,Trinity College Dublin (TCD),Transcriptional Regulation by the Ubiquitin System in the Model Plant Arabidopsis thaliana,10/01/2009,3/31/2014,548474
09/CW/B1685s1,SFI Conferences and Workshops Programme,,General Supplement,Brett Paull,Dublin City University (DCU),International Ion Chromatography Symposium 2009,08/01/2009,11/29/2009,12000
09/CW/B1674s1,SFI Conferences and Workshops Programme,,General Supplement,Aideen Long,Trinity College Dublin (TCD),Irish Society of Immunology Meeting 2009: Regulation of the Immune System in Health & Disease,08/01/2009,11/29/2009,9846
09/SIRG/I1623,SFI Starting Investigator Research Grant,,,Ray Duffy,Tyndall National Institute (TNI),N-type doping in germanium for sub-20nm technology CMOS devices,10/01/2009,3/31/2014,545532
09/SIRG/B1590,SFI Starting Investigator Research Grant,,,Roger Preston,Trinity College Dublin (TCD),Modulating activated protein C function for therapeutic gain,10/01/2009,7/31/2014,589789
09/SIRG/B1570,SFI Starting Investigator Research Grant,,,Kimon Andreas Karatzas,"National University of Ireland, Galway (NUIG)",Elucidating the role of y-aminobutyric acid metabolism in stress resistance and virulence of Listeria monocytogenes,08/01/2009,7/31/2012,422652
09/CW/B1673,SFI Conferences and Workshops Programme,,,Thomas Connor,Trinity College Dublin (TCD),Neuroscience Ireland Annual Conference 2009,08/01/2009,12/29/2009,10000
09/SIRG/I1620,SFI Starting Investigator Research Grant,,,Michael Nolan,Tyndall National Institute (TNI),EMOIN: Engineering Metal Oxide Interfaces For Renewable Energy Photocatalysis,10/01/2009,3/31/2014,420893
09/SIRG/I1643,SFI Starting Investigator Research Grant,,,Sasitharan Balasubramaniam,Waterford Institute of Technology (WIT),A Biologically inspired framework supporting network management and the Future Internet,10/01/2009,5/31/2013,387521
09/SIRG/B1654,SFI Starting Investigator Research Grant,,,Max Dow,University College Cork (UCC),The role of interspecies communication in influencing virulence biofilm formation and antibiotic resistance of bacterial pathogens associated with cystic fibrosis,10/01/2009,12/31/2013,566566
09/SIRG/I1615,SFI Starting Investigator Research Grant,,,Andreas Amann,Tyndall National Institute (TNI),Complex networks based on discrete mode lasers,10/01/2009,3/31/2014,451793
09/SIRG/I1621,SFI Starting Investigator Research Grant,,,Nikolay Petkov,Tyndall National Institute (TNI),Tuning surface and dopant properties of silicon and germanium nanowires for high performance nanowire-based field-effect transistors,10/01/2009,3/31/2014,505141
09/SIRG/I1644,SFI Starting Investigator Research Grant,,,Xiulong Bao,Technological University Dublin (TU Dublin),Compact and High-performance Circularly Polarized Antennas for the Integration of Wireless Positioning Communications and Asset Tracking Systems,10/01/2009,12/31/2013,466609
09/SIRG/B1575,SFI Starting Investigator Research Grant,,,Eva Szegezdi,"National University of Ireland, Galway (NUIG)",Novel ratiometric approach to identify decisive molecular interactions of the TRAIL apoptotic machinery,10/01/2009,9/30/2014,549204
09/SIRG/I1592,SFI Starting Investigator Research Grant,,,Paul Eastham,Trinity College Dublin (TCD),Strong interactions and collective effects in semiconductor optoelectronics,10/01/2009,1/31/2014,474507
09/SIRG/B1593,SFI Starting Investigator Research Grant,,,Jean Fletcher,Trinity College Dublin (TCD),Role of CD39+ regulatory T cells in controlling pathogenic Th17 cells in human autoimmune diseases,10/01/2009,3/31/2014,563310
09/SIRG/I1560,SFI Starting Investigator Research Grant,,,Abdelhamid Nafaa,University College Dublin (UCD),Modelling and analysis of a large-scale peer-to-peer streaming system to provision cost-effective Video on Demand services in managed networks,11/01/2009,10/31/2013,438152
09/USP/I1755,SFI US-Ireland R&D Partnership Programme,Planning Grant,,Kenneth Stanton,University College Dublin (UCD),Engineering Mineralised Tooth Tissue Using Glass Ionomer Nanomaterials,01/04/2010,12/30/2010,2582
08/RFP/CMS1668s,SFI Research Frontiers Programme,,General Supplement,Donal Fitzpatrick,Dublin City University (DCU),Barrier-Free Access to Mathematics for Visually Impaired People,07/01/2009,1/27/2010,24163
08/ERA/I1759,EU Joint Programming Initiative,NanoScie-E+ Transnational Call,,Stefano Sanvito,Trinity College Dublin (TCD),Interfacing single molecules via nanoparticle networks (INTERNET),09/01/2009,11/30/2012,233347
08/ERA/I1760,EU Joint Programming Initiative,NanoScie-E+ Transnational Call,,Igor Shvets,Trinity College Dublin (TCD),Nanowire based Microwave Emitters for use in Monolithic Microwave Integrated Circuits,10/01/2009,9/30/2012,283663
09/RFP/NES2520,SFI Research Frontiers Programme,,,John Groeger,University College Cork (UCC),Differential effects of sleep loss on overnight driving and cognitive performance as a function of age and polymorphisms of the PERIOD3 gene,09/01/2009,8/31/2012,184739
05/CE3/B754s4,SFI Centres for Science Engineering and Technology Programme,,Maternity / Adoptive Allowance,Brian McCraith,Dublin City University (DCU),CSET Biomedical Diagnostics Institute (BDI) Supplement,10/31/2008,8/27/2009,19209
05/CE3/B754s5,SFI Centres for Science Engineering and Technology Programme,,Maternity / Adoptive Allowance,Brian McCraith,Dublin City University (DCU),CSET Biomedical Diagnostics Institute (BDI) Supplement,11/10/2008,5/31/2009,19747
07/IN.1/B975s,SFI Principal Investigator Programme,,Maternity / Adoptive Allowance,Amir Khan,Trinity College Dublin (TCD),Structural Basis for Vesicle Trafficking by Small GTPases,10/01/2009,4/29/2010,19331
09/CW/I1698,SFI Conferences and Workshops Programme,,,Stewart Fotheringham,"National University of Ireland, Maynooth (NUIM)",9th International Symposium on Web and Wireless Geographical Information Systems (W2GIS 2009),09/01/2009,1/29/2010,2206
09/CW/I1772,SFI Conferences and Workshops Programme,,,Christopher Dainty,"National University of Ireland, Galway (NUIG)",Connecting leading researchers and academia to support the commercialisation of new and existing technologies,09/01/2009,12/30/2009,2117
08/ERA/I1761,EU Joint Programming Initiative,NanoScie-E+ Transnational Call,,Sile Nic Chormaic,Tyndall National Institute (TNI),Nanofibre Optical Interfaces for Ions Atoms and Molecules (NOIs),09/01/2009,8/31/2012,263996
08/CE/I1523,SFI Centres for Science Engineering and Technology Programme,,General Supplement,Linda Doyle,Trinity College Dublin (TCD),CSET CTVR: Centre for Telecommunications Value-Chain Research (CTVR),10/01/2009,5/24/2011,3385309
09/YI/B1682,SFI President of Ireland Young Researcher Award,,,Neil Ferguson,University College Dublin (UCD),Towards new therapies for chronic hepatitis B virus infections: Using high-resolution protein engineering and biophysical methodologies to dissect the molecular interactions critical for viral replication and help discover novel antivirals,11/01/2009,10/31/2014,951016
09/CW/B1777,SFI Conferences and Workshops Programme,,,Seamas Donnelly,University College Dublin (UCD),National Strategic Forum for Clinical Research,10/01/2009,12/30/2009,10000
09/CW/I732,SFI Conferences and Workshops Programme,,,Peter Parbrook,Tyndall National Institute (TNI),UK Nitrides Consortium Winter Conference 2010,11/01/2009,4/30/2010,6000
09/CW/I691,SFI Conferences and Workshops Programme,,,Diarmuid O'Brien,Trinity College Dublin (TCD),National Nano Week,11/01/2009,4/30/2010,11000
08/CE/I1432s1,SFI Centres for Science Engineering and Technology Programme,,General Supplement,John Boland,Trinity College Dublin (TCD),CRANN supplement to promote industry engagement,12/01/2009,11/30/2013,1757708
08/US/I1546,SFI US-Ireland R&D Partnership Programme,Full Proposal,,Paul Hurley,Tyndall National Institute (TNI),Future Oxides and Channel Materials for Ultimate Scaling (FOCUS),10/01/2009,8/31/2013,448411
09/CW/I1775,SFI Conferences and Workshops Programme,,,Miles Turner,Dublin City University (DCU),Fusion Expo,11/01/2009,1/30/2010,2000
09/CW/I1176,SFI Conferences and Workshops Programme,,,Miguel Ponce de Leon,Waterford Institute of Technology (WIT),Irish Future Internet Forum,11/01/2009,1/31/2010,12105
05/CE3/B754s6,SFI Centres for Science Engineering and Technology Programme,,General Supplement,Brian McCraith,Dublin City University (DCU),CSET Biomedical Diagnostics Institute (BDI) Supplement: Development of igG Assay Biochips for Bioprocess Samples - Addition of Industry Partner,10/01/2009,9/26/2010,116967
08/IN.1/B1875s,SFI Principal Investigator Programme,,Maternity / Adoptive Allowance,David Henshall,Royal College of Surgeons in Ireland (RCSI),Molecular determinants of seizure-induced neuronal death and epileptogenesis,11/02/2009,03/01/2010,8041
09/JS/1713,WISER Junior Scholarship,,,Mary Dempsey,"National University of Ireland, Galway (NUIG)",SFI Scholarship - Young Women in Engineering,10/01/2009,9/30/2013,8000
09/JS/1699,WISER Junior Scholarship,,,Alan O'Connor,Trinity College Dublin (TCD),SFI Scholarship - Young Women in Engineering,10/01/2009,9/30/2013,8000
09/JS/1701,WISER Junior Scholarship,,,Alan O'Connor,Trinity College Dublin (TCD),SFI Scholarship - Young Women in Engineering,10/01/2009,9/30/2013,8000
09/JS/1747,WISER Junior Scholarship,,,Dermot Geraghty,Trinity College Dublin (TCD),SFI Scholarship - Young Women in Engineering,10/01/2009,9/30/2013,8000
09/JS/1720,WISER Junior Scholarship,,,Richard Kavanagh,University College Cork (UCC),SFI Scholarship - Young Women in Engineering,10/01/2009,9/30/2013,8000
09/JS/1744,WISER Junior Scholarship,,,Liam Marnane,University College Cork (UCC),SFI Scholarship - Young Women in Engineering,10/01/2009,9/30/2013,8000
09/JS/1725,WISER Junior Scholarship,,,Karsten Menzel,University College Cork (UCC),SFI Scholarship - Young Women in Engineering,10/01/2009,9/30/2013,8000
09/JS/1727,WISER Junior Scholarship,,,Aoife Ahern,University College Dublin (UCD),SFI Scholarship - Young Women in Engineering,10/01/2009,9/30/2013,8000
09/JS/1707,WISER Junior Scholarship,,,Tim McGloughlin,University of Limerick (UL),SFI Scholarship - Young Women in Engineering,10/01/2009,9/30/2013,8000
09/JS/1702,WISER Junior Scholarship,,,Madeleine Lowery,University College Dublin (UCD),SFI Scholarship - Young Women in Engineering,10/01/2009,9/30/2012,6000
08/IN.1/B1949s1,SFI Principal Investigator Programme,,Maternity / Adoptive Allowance,Jochen Prehn,Royal College of Surgeons in Ireland (RCSI),BH3- Only Proteins and Cellular Bioenergetic in the Control of Neuronal Survival and Cell Death: Role in Ischaemic Injury and Neurodegeneration,11/02/2009,06/01/2010,6500
07/SRC/B1163NSs,SFI Strategic Research Cluster Programme,,North-South Supplement,Abhay Pandit,"National University of Ireland, Galway (NUIG)",Cross Border Programme for Collaborative R & D in Functional Biomaterials,12/01/2009,8/31/2012,83866
08/SRC/B1410 STTF 09,SFI Short Term Travel Fellowship,,,John Crown,Dublin City University (DCU),Phosphoproteomic profiling of lapatinib resistant breast cancer cells,11/01/2009,11/26/2010,12850
07/IN1/B1792 STTF 09,SFI Short Term Travel Fellowship,,,Andreas Heise,Dublin City University (DCU),Functional polypeptides for biomedical polymers,11/01/2009,11/26/2010,6523
08/RFP/GEO1693 STTF 09,SFI Short Term Travel Fellowship,,,Alan Jones,Dublin Institute for Advanced Studies (DIAS),Understanding the causes of lithospheric anisotropy in seismic velocity and electrical conductivity,11/01/2009,11/26/2010,3891
07/RFP/ENMF482 STTF 09,SFI Short Term Travel Fellowship,,,Abhay Pandit,"National University of Ireland, Galway (NUIG)",Investigation of a tissue engineered nucleus pulposus scaffold in a organo-culture system,11/01/2009,11/26/2010,6808
05/RP1/B793 STTF 09,SFI Short Term Travel Fellowship,,,Kevin Sullivan,"National University of Ireland, Galway (NUIG)",Establishing a profile of HFD protein inheritance and replicative assembly of centromeric loci.,11/01/2009,11/26/2010,11094
06/IN.1/B73 STTF09,SFI Short Term Travel Fellowship,,,Robert Lahue,"National University of Ireland, Galway (NUIG)",2-dimensional gels: investigating abberant DNA intermediates in mutagenesis,11/01/2009,11/26/2010,2935
08/CE/I1380 STTF 09,SFI Short Term Travel Fellowship,,,Stefan Decker,"National University of Ireland, Galway (NUIG)",Citizen Sensing via Ubiquitous Computing Enviroments and Social Semantic Platforms,11/01/2009,11/26/2010,6226
07/RFP/CHEF845 STTF 09,SFI Short Term Travel Fellowship,,,Henry Curran,"National University of Ireland, Galway (NUIG)",Experimental and modelling studies of C3 alcohols in a flow reactor with and without NO chemistry,11/01/2009,11/26/2010,8358
07/RFP/PHYF553 STTF09,SFI Short Term Travel Fellowship,,,Aaron Golden,"National University of Ireland, Galway (NUIG)",Characterising the Magnetic Fields of M Dwarf Stars,11/01/2009,11/26/2010,7897
07/RFP/BICF493 STTF09,SFI Short Term Travel Fellowship,,,Gary Jones,"National University of Ireland, Maynooth (NUIM)",Biochemical analysis of Hsp70 mutants that suppress prion propagation,11/01/2009,11/26/2010,2987
07/IN.1/I901 STTF09,SFI Short Term Travel Fellowship,,,Doug Leith,"National University of Ireland, Maynooth (NUIM)",Design and Analysis of Completely Decentralised Scheduling in Wireless Mesh Networks,11/01/2009,11/26/2010,7186
07/IN.1/B1776 STTF 09,SFI Short Term Travel Fellowship,,,Raymond Stallings,Royal College of Surgeons in Ireland (RCSI),MicroRNA mediated therapeutics in an orthatopic mouse model of neuroblastoma,11/01/2009,11/30/2010,6769
08/RFP/CHE1465 STTF09,SFI Short Term Travel Fellowship,,,Sylvia Draper,Trinity College Dublin (TCD),Non-Linear Optics: An Evaluation of New Push-Pull Thienyl and Ferrocenyl Complexes using EFISH and HR Techniques,11/01/2009,11/26/2010,1664
07/RFP/PHY518 STTF 09,SFI Short Term Travel Fellowship,,,Sile Nic Chormaic,Tyndall National Institute (TNI),Transport and imaging of single atoms,11/01/2009,11/26/2010,7301
06/IN1/B81 STTF 09,SFI Short Term Travel Fellowship,,,Pavel Baranov,University College Cork (UCC),Identification of A-to-I RNA editing in the ribosomal RNA of higher eukaryotes,11/01/2009,11/26/2010,9594
07/IN.1/I977 STTF09,SFI Short Term Travel Fellowship,,,Michel Schellekens,University College Cork (UCC),A programmable Built In Self Test for 3D Computer Architecture,11/01/2009,11/26/2010,7794
07/SRC/B1154 STTF09,SFI Short Term Travel Fellowship,,,David Brayden,University College Dublin (UCD),Analysis of Intra-Articular Delivery of Salmon Calcitonin-Hyaluronic Polymeric Particulates in the KBxN Murine Model of Arthritis,11/01/2009,11/26/2010,10592
08/IN.1/I2054 STTF09,SFI Short Term Travel Fellowship,,,Alexey Lastovetsky,University College Dublin (UCD),Design and implementation of scientific software on multicore architectures,11/01/2009,11/26/2010,2448
07/RFP/MATF846 STTF09,SFI Short Term Travel Fellowship,,,Gary McGuire,University College Dublin (UCD),The invariants of abelian varieties with complex multiplication and the CM lifting,11/01/2009,11/26/2010,2712
08/RFP/CHE1251 STTF 09,SFI Short Term Travel Fellowship,,,Declan Gilheany,University College Dublin (UCD),Investigation of the feasibility of enzymatic refining of the products of asymmetric oxidation of phosphoramidites for pro tide drug synthesis,11/01/2009,11/26/2010,10145
08/US/I15123 STTF 09,SFI Short Term Travel Fellowship,,,Richard O'Kennedy,Dublin City University (DCU),PRET-based detection for point-of-care dignostics,11/01/2009,11/26/2010,10989
07/RFP/CMSF575 STTF 09,SFI Short Term Travel Fellowship,,,Pavel Gladyshev,University College Dublin (UCD),Research into real-world digitial forensic practices for the development of highly automated tools to increase speed and efficiency of forensic investigations.,11/01/2009,11/26/2010,4801
07/RFP/PHYF393 STTF 09,SFI Short Term Travel Fellowship,,,Ronan McNulty,University College Dublin (UCD),Testing the standard model and measuring the parton distribution functions using W and Z decays to muons at the LHCb experiment,11/01/2009,11/26/2010,7561
